"*Microsoft Edge (Chromium)*", "*Latest*", "*Windows*", ":fa:`check-circle;sd-text-success` *Yes*"
"*Microsoft Edge (Chromium)*", "Others", "Windows", ":fa:`check-circle;sd-text-warning` Limited"
"*Microsoft Edge (EdgeHTML)*", "Any", "Windows", ":fa:`times-circle;sd-text-danger` No"
"*Internet Explorer*", "Any", "Windows", ":fa:`times-circle;sd-text-danger` No"
"*Mozilla Firefox*", "*Latest*", "*Windows/Linux/OSX*", ":fa:`check-circle;sd-text-success` *Yes*"
"*Mozilla Firefox*", "ESR", "Windows/Linux/OSX", ":fa:`check-circle;sd-text-success` Yes"
"*Mozilla Firefox*", "Others", "Windows/Linux/OSX", ":fa:`check-circle;sd-text-warning` Limited"
"*Google Chrome*", "*Latest*", "*Windows/Linux/OSX*", ":fa:`check-circle;sd-text-success` *Yes*"
"*Google Chrome*", "Others", "Windows/Linux/OSX", ":fa:`check-circle;sd-text-warning` Limited"
"*Safari*", "*Latest*", "*OSX*", ":fa:`check-circle;sd-text-success` *Yes*"
"*Safari*", "Others", "OSX", ":fa:`check-circle;sd-text-warning` Limited "
